ID,level,input_noise,N_fixations,N_distant_fixations,trial,time_played,N_attempt,done,SoC,level_difficulty,crashed,N_prior_crashs,trials_since_last_crash,crashed_in_last_trial,consecutive_crash_success,N_consecutive_crash_success
CH29AE,3,0.5,92.0,47.0,12,42.5349018573761,1,True,7,medium,0,6,4,0,0,2
CH29AE,4,2.0,54.0,21.0,13,28.49465537071228,2,False,2,hard,1,6,0,0,0,2
CH29AE,1,0.0,78.0,34.0,14,43.35466027259827,1,True,7,medium,0,7,1,1,1,3
CH29AE,4,1.0,71.0,33.0,15,42.43221879005432,1,True,7,hard,0,7,2,0,0,3
CH29AE,2,0.0,28.0,18.0,16,44.428157329559326,1,True,7,medium,0,7,3,0,0,3
CH29AE,6,1.0,58.0,26.0,17,43.00995826721192,1,True,7,hard,0,7,4,0,0,3
CH29AE,1,2.0,48.0,19.0,18,31.52923154830933,3,False,2,medium,1,7,0,0,0,3
CH29AE,5,2.0,20.0,8.0,19,9.666469097137451,2,False,1,hard,1,8,1,1,0,3
CH29AE,3,1.0,77.0,33.0,20,42.754136085510254,1,True,6,medium,0,9,1,1,1,4
CH29AE,3,1.5,91.0,44.0,21,42.15402173995972,1,True,3,medium,0,9,2,0,0,4
CH29AE,3,0.0,75.0,36.0,22,43.11329364776611,1,True,7,medium,0,9,3,0,0,4
CH29AE,6,0.0,94.0,48.0,23,42.97342824935913,1,True,7,hard,0,9,4,0,0,4
CH29AE,3,2.0,40.0,13.0,24,17.824564456939697,1,False,2,medium,1,9,0,0,0,4
CH29AE,4,0.5,91.0,51.0,25,42.66173720359802,1,True,7,hard,0,10,1,1,1,5
CH29AE,5,1.5,36.0,13.0,26,20.91754961013794,1,False,1,hard,1,10,0,0,0,5
CH29AE,6,1.5,15.0,9.0,27,9.072909116744995,1,False,1,hard,1,11,1,1,0,5
CH29AE,4,0.0,48.0,21.0,28,43.672614097595215,1,True,7,hard,0,12,1,1,1,6
CH29AE,1,0.5,41.0,22.0,29,43.158881187438965,1,True,7,medium,0,12,2,0,0,6
CH29AE,4,1.5,44.0,25.0,30,21.40234589576721,1,False,3,hard,1,12,0,0,0,6
CH29AE,5,2.0,78.0,38.0,31,43.99041414260864,3,True,4,hard,0,13,1,1,1,7
CH29AE,5,1.5,68.0,28.0,32,43.56368470191956,2,True,5,hard,0,13,2,0,0,7
CH29AE,5,0.0,83.0,43.0,33,44.09817099571228,1,True,6,hard,0,13,3,0,0,7
CH29AE,4,2.0,17.0,7.0,34,9.079276084899902,3,False,2,hard,1,13,0,0,0,7
CH29AE,5,1.0,77.0,38.0,35,43.44682431221008,2,True,7,hard,0,14,1,1,1,8
CH29AE,3,2.0,77.0,38.0,36,42.30335783958435,2,True,3,medium,0,14,2,0,0,8
CH29AE,1,1.0,50.0,29.0,37,44.01790237426758,1,True,5,medium,0,14,3,0,0,8
